Data;Preco_Fechamento
2014-01-01;4.137428283691406
2014-02-01;3.8250107765197754
2014-03-01;4.441402912139893
2014-04-01;4.660939693450928
2014-05-01;5.019325256347656
2014-06-01;5.19976806640625
2014-07-01;5.744103908538818
2014-08-01;7.025249481201172
2014-09-01;5.440358638763428
2014-10-01;4.595283508300781
2014-11-01;3.861482620239258
2014-12-01;3.016406774520874
2015-01-01;2.496129274368286
2015-02-01;2.872051954269409
2015-03-01;2.9051334857940674
2015-04-01;3.927644729614258
2015-05-01;3.708104372024536
2015-06-01;3.8163704872131348
2015-07-01;3.1547462940216064
2015-08-01;2.7637856006622314
2015-09-01;2.1773462295532227
2015-10-01;2.318693161010742
2015-11-01;2.306663751602173
2015-12-01;2.0149476528167725
2016-01-01;1.4555740356445312
2016-02-01;1.5457956790924072
2016-03-01;2.4991371631622314
2016-04-01;3.0765533447265625
2016-05-01;2.4179365634918213
2016-06-01;2.832955837249756
2016-07-01;3.569765329360962
2016-08-01;3.8644886016845703
2016-09-01;4.081019878387451
2016-10-01;5.320062637329102
2016-11-01;4.8118157386779785
2016-12-01;4.471981048583984
2017-01-01;4.517091274261475
2017-02-01;4.565208911895752
2017-03-01;4.357699394226074
2017-04-01;4.201315879821777
2017-05-01;3.8975698947906494
2017-06-01;3.7201342582702637
2017-07-01;3.9968137741088867
2017-08-01;4.105079650878906
2017-09-01;4.6012983322143555
2017-10-01;5.043383598327637
2017-11-01;4.625357151031494
2017-12-01;4.841888904571533
2018-01-01;5.92454719543457
2018-02-01;6.453845977783203
2018-03-01;6.4388108253479
2018-04-01;6.907961368560791
2018-05-01;5.708015441894531
2018-06-01;5.180032730102539
2018-07-01;5.942421913146973
2018-08-01;5.803806304931641
2018-09-01;6.371154308319092
2018-10-01;8.343827247619629
2018-11-01;7.691303730010986
2018-12-01;6.878813743591309
2019-01-01;8.025226593017578
2019-02-01;8.489547729492188
2019-03-01;8.803278923034668
2019-04-01;8.505234718322754
2019-05-01;8.021440505981445
2019-06-01;8.6379976272583
2019-07-01;8.21885871887207
2019-08-01;8.036078453063965
2019-09-01;8.750344276428223
2019-10-01;9.652376174926758
2019-11-01;9.25853157043457
2019-12-01;9.6493501663208
2020-01-01;9.222111701965332
2020-02-01;8.213998794555664
2020-03-01;4.534878730773926
2020-04-01;5.850934028625488
2020-05-01;6.593239784240723
2020-06-01;6.985464096069336
2020-07-01;7.196164131164551
2020-08-01;7.095818042755127
2020-09-01;6.356738567352295
2020-10-01;6.139552593231201
2020-11-01;8.071533203125
2020-12-01;9.186637878417969
2021-01-01;8.651777267456055
2021-02-01;7.209274768829346
2021-03-01;7.81220817565918
2021-04-01;7.656612396240234
2021-05-01;9.003273010253906
2021-06-01;9.861042976379395
2021-07-01;9.01667308807373
2021-08-01;9.110492706298828
2021-09-01;9.667311668395996
2021-10-01;9.638911247253418
2021-11-01;10.448366165161133
2021-12-01;10.118194580078125
2022-01-01;12.901835441589355
2022-02-01;13.559890747070312
2022-03-01;13.34054183959961
2022-04-01;12.07628059387207
2022-05-01;13.1154146194458
2022-06-01;13.579885482788086
2022-07-01;16.6041259765625
2022-08-01;16.15680694580078
2022-09-01;17.793550491333008
2022-10-01;17.79952049255371
2022-11-01;15.918660163879395
2022-12-01;15.650915145874023
2023-01-01;16.653852462768555
2023-02-01;16.123638153076172
2023-03-01;14.980164527893066
2023-04-01;15.139867782592773
2023-05-01;18.79595375061035
2023-06-01;21.24979019165039
2023-07-01;23.85274314880371
2023-08-01;24.489124298095703
2023-09-01;27.57167625427246
2023-10-01;27.651277542114258
2023-11-01;28.58253288269043
2023-12-01;30.802814483642578
