Data;Acao;Retorno
2023-11-01;VALE3.SA;7.028996885434169
2023-12-01;VALE3.SA;7.7616748700461535
2014-02-01;PETR4.SA;-7.551007189734116
2014-03-01;PETR4.SA;16.11478167339826
2014-04-01;PETR4.SA;4.942960268499053
2014-05-01;PETR4.SA;7.689126795617951
2014-06-01;PETR4.SA;3.594961490698334
2014-07-01;PETR4.SA;10.468463884943603
2014-08-01;PETR4.SA;22.303662904807208
2014-09-01;PETR4.SA;-22.559922557608026
2014-10-01;PETR4.SA;-15.53344524828475
2014-11-01;PETR4.SA;-15.96856617738618
2014-12-01;PETR4.SA;-21.884750724736467
2015-01-01;PETR4.SA;-17.248253934028135
2015-02-01;PETR4.SA;15.060224795298737
2015-03-01;PETR4.SA;1.1518430742689434
2015-04-01;PETR4.SA;35.19670434491946
2015-05-01;PETR4.SA;-5.5896185297615535
2015-06-01;PETR4.SA;2.919715960677971
2015-07-01;PETR4.SA;-17.336477037759302
2015-08-01;PETR4.SA;-12.392777641113783
2015-09-01;PETR4.SA;-21.218699850252186
2015-10-01;PETR4.SA;6.49170671797672
2015-11-01;PETR4.SA;-0.5188012631790251
2015-12-01;PETR4.SA;-12.64666766375372
2016-01-01;PETR4.SA;-27.761198480281678
2016-02-01;PETR4.SA;6.198354823492402
2016-03-01;PETR4.SA;61.6731885697575
2016-04-01;PETR4.SA;23.104621469984068
2016-05-01;PETR4.SA;-21.40761779293242
2016-06-01;PETR4.SA;17.164191981885235
2016-07-01;PETR4.SA;26.008506113053407
2016-08-01;PETR4.SA;8.256096553449588
2016-09-01;PETR4.SA;5.603102998117082
2016-10-01;PETR4.SA;30.361105700647517
2016-11-01;PETR4.SA;-9.553400651430765
2016-12-01;PETR4.SA;-7.062504230208988
2017-01-01;PETR4.SA;1.0087302514793617
2017-02-01;PETR4.SA;1.065235008830867
2017-03-01;PETR4.SA;-4.545455020228351
2017-04-01;PETR4.SA;-3.5886714584191903
2017-05-01;PETR4.SA;-7.229782137781394
2017-06-01;PETR4.SA;-4.552468366443907
2017-07-01;PETR4.SA;7.437352972504518
2017-08-01;PETR4.SA;2.708804635116091
2017-09-01;PETR4.SA;12.087918470210624
2017-10-01;PETR4.SA;9.60783748834928
2017-11-01;PETR4.SA;-8.288610991929268
2017-12-01;PETR4.SA;4.681406137291488
2018-01-01;PETR4.SA;22.36024642863721
2018-02-01;PETR4.SA;8.933995542418982
2018-03-01;PETR4.SA;-0.23296422764131908
2018-04-01;PETR4.SA;7.286291769374076
2018-05-01;PETR4.SA;-17.37047824452813
2018-06-01;PETR4.SA;-9.249847292227209
2018-07-01;PETR4.SA;14.717844901133326
2018-08-01;PETR4.SA;-2.3326450097503115
2018-09-01;PETR4.SA;9.775446897760197
