Data;Acao;Retorno
2023-11-01;VALE3.SA;7.02897702165981
2023-12-01;VALE3.SA;7.761687897973668
2014-02-01;PETR4.SA;-7.551029369410466
2014-03-01;PETR4.SA;16.11479614861222
2014-04-01;PETR4.SA;4.942971004682373
2014-05-01;PETR4.SA;7.689115778489364
2014-06-01;PETR4.SA;3.5949519906732563
2014-07-01;PETR4.SA;10.468474015294138
2014-08-01;PETR4.SA;22.303687808804384
2014-09-01;PETR4.SA;-22.559938326286012
2014-10-01;PETR4.SA;-15.53342771866254
2014-11-01;PETR4.SA;-15.968619935021344
2014-12-01;PETR4.SA;-21.884735486201258
2015-01-01;PETR4.SA;-17.24824221584347
2015-02-01;PETR4.SA;15.060235785313637
2015-03-01;PETR4.SA;1.151826471604167
2015-04-01;PETR4.SA;35.19668550155597
2015-05-01;PETR4.SA;-5.589547383042737
2015-06-01;PETR4.SA;2.919656779651225
2015-07-01;PETR4.SA;-17.33648545112969
2015-08-01;PETR4.SA;-12.392765335934309
2015-09-01;PETR4.SA;-21.218684427642277
2015-10-01;PETR4.SA;6.491684107216322
2015-11-01;PETR4.SA;-0.5187910340685553
2015-12-01;PETR4.SA;-12.646688335910984
2016-01-01;PETR4.SA;-27.761175468723685
2016-02-01;PETR4.SA;6.198378885396294
2016-03-01;PETR4.SA;61.67307700316138
2016-04-01;PETR4.SA;23.104716147098635
2016-05-01;PETR4.SA;-21.40765599517359
2016-06-01;PETR4.SA;17.164213395177864
2016-07-01;PETR4.SA;26.008503924205108
2016-08-01;PETR4.SA;8.256069286718315
2016-09-01;PETR4.SA;5.6031102046371295
2016-10-01;PETR4.SA;30.36113261665163
2016-11-01;PETR4.SA;-9.553426684154076
2016-12-01;PETR4.SA;-7.062505629957149
2017-01-01;PETR4.SA;1.0087411293712378
2017-02-01;PETR4.SA;1.0652351212801392
2017-03-01;PETR4.SA;-4.545424159927536
2017-04-01;PETR4.SA;-3.588692557852491
2017-05-01;PETR4.SA;-7.229782137781394
2017-06-01;PETR4.SA;-4.552468366443907
