Data;Preco_Fechamento
2014-01-01;15.830814361572266
2014-02-01;15.806864738464355
2014-03-01;15.050049781799316
2014-04-01;14.154330253601074
2014-05-01;14.016833305358887
2014-06-01;14.40099048614502
2014-07-01;16.031198501586914
2014-08-01;14.381291389465332
2014-09-01;13.223894119262695
2014-10-01;12.312747955322266
2014-11-01;11.901257514953613
2014-12-01;11.196072578430176
2015-01-01;9.509764671325684
2015-02-01;10.858811378479004
2015-03-01;9.167390823364258
2015-04-01;11.574214935302734
2015-05-01;10.585331916809082
2015-06-01;9.656147003173828
2015-07-01;9.434409141540527
2015-08-01;9.460806846618652
2015-09-01;8.753358840942383
2015-10-01;9.006771087646484
2015-11-01;7.092750072479248
2015-12-01;7.017353057861328
2016-01-01;5.234740734100342
2016-02-01;6.360317707061768
2016-03-01;8.159085273742676
2016-04-01;10.604117393493652
2016-05-01;7.658230304718018
2016-06-01;8.762264251708984
2016-07-01;9.963238716125488
2016-08-01;9.12309741973877
2016-09-01;9.591638565063477
2016-10-01;11.891263008117676
2016-11-01;15.111809730529785
2016-12-01;13.830052375793457
2017-01-01;17.432476043701172
2017-02-01;17.725006103515625
2017-03-01;16.13776969909668
2017-04-01;14.880983352661133
2017-05-01;15.209494590759277
2017-06-01;16.23390769958496
2017-07-01;17.52143096923828
2017-08-01;19.637434005737305
2017-09-01;17.84050941467285
2017-10-01;17.969261169433594
2017-11-01;19.6710205078125
2017-12-01;22.537147521972656
2018-01-01;23.451152801513672
2018-02-01;25.487924575805664
2018-03-01;23.881141662597656
2018-04-01;27.848833084106445
2018-05-01;28.970335006713867
2018-06-01;28.375255584716797
2018-07-01;31.379291534423828
2018-08-01;30.681211471557617
2018-09-01;35.21542739868164
2018-10-01;33.38459777832031
2018-11-01;31.082820892333984
2018-12-01;30.023174285888672
2019-01-01;26.785383224487305
2019-02-01;27.727291107177734
2019-03-01;29.98196792602539
2019-04-01;29.493356704711914
2019-05-01;28.845800399780273
2019-06-01;30.505901336669922
2019-07-01;29.32263946533203
2019-08-01;26.82659339904785
2019-09-01;28.109939575195312
2019-10-01;27.786157608032227
2019-11-01;29.422714233398438
2019-12-01;31.37716293334961
2020-01-01;30.377609252929688
2020-02-01;26.77605438232422
2020-03-01;26.11737632751465
2020-04-01;27.1084041595459
2020-05-01;32.02731704711914
2020-06-01;33.791839599609375
2020-07-01;36.68638610839844
2020-08-01;36.063968658447266
2020-09-01;35.71952438354492
2020-10-01;38.11924743652344
2020-11-01;49.10489273071289
2020-12-01;55.05414581298828
2021-01-01;55.36891174316406
2021-02-01;59.50505447387695
2021-03-01;61.6770133972168
2021-04-01;71.72545623779297
2021-05-01;75.5150375366211
2021-06-01;74.50843048095703
2021-07-01;72.96746063232422
2021-08-01;66.20475006103516
2021-09-01;51.149681091308594
2021-10-01;53.03400802612305
2021-11-01;51.80462646484375
2021-12-01;58.32185745239258
2022-01-01;59.89192581176758
2022-02-01;68.34211730957031
2022-03-01;70.80088806152344
2022-04-01;64.05564880371094
2022-05-01;66.30131530761719
2022-06-01;58.879825592041016
2022-07-01;53.64247131347656
2022-08-01;49.60486602783203
2022-09-01;58.27524185180664
2022-10-01;54.30339813232422
2022-11-01;69.33329010009766
2022-12-01;71.89759826660156
2023-01-01;76.71206665039062
2023-02-01;69.25271606445312
2023-03-01;65.16995239257812
2023-04-01;60.05634307861328
2023-05-01;52.930870056152344
2023-06-01;53.270965576171875
2023-07-01;57.36872482299805
2023-08-01;53.98434066772461
2023-09-01;57.74930953979492
2023-10-01;58.962745666503906
2023-11-01;63.10722351074219
2023-12-01;68.00540924072266
